epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0145,1.07046,3.19674,3.04304,1.4065,0,0.52779,0.0625,0.06667,0.03502,0.33472,0.16786,0.06072,0.02852,1.7478,4.50463,6.96302,2.44378,0,0.000273863,0.000273863,0.000273863
2,43.7317,1.17544,3.02485,2.60396,1.45262,0,0.23841,0.13482,0.07778,0.05308,0.1873,0.13036,0.06448,0.04188,1.92419,6.65327,4.12997,2.4124,0,0.000550438,0.000550438,0.000550438
3,64.4257,1.18518,3.05319,2.45698,1.46233,0,0.13018,0.47143,0.14242,0.06366,0.75408,0.17857,0.24851,0.078,1.98152,4.65265,3.48846,2.60137,0,0.000825913,0.000825913,0.000825913
4,85.028,1.17473,2.87239,2.34592,1.4331,0,0.39045,0.16518,0.24796,0.15886,0.38148,0.16071,0.23944,0.12723,1.96504,4.1704,4.15863,2.45889,0,0.000828052,0.000828052,0.000828052
5,105.766,1.1561,2.87765,2.26844,1.42982,0,0.23828,0.33298,0.22831,0.1618,0.22664,0.28834,0.21424,0.15647,1.81971,4.05126,3.08465,2.21401,0,0.000826403,0.000826403,0.000826403
6,126.567,1.1278,2.80197,2.16647,1.41275,0,0.27398,0.31398,0.22197,0.14923,0.39664,0.17857,0.20544,0.14307,2.00843,3.79958,3.19842,2.4387,0,0.000824753,0.000824753,0.000824753
7,147.281,1.13048,2.82977,2.22517,1.43712,0,0.32585,0.34643,0.33168,0.19264,0.35405,0.29806,0.33313,0.20595,1.86337,3.50316,2.85044,2.25442,0,0.000823104,0.000823104,0.000823104
8,168.16,1.08001,2.69639,2.06527,1.36456,0,0.3119,0.30536,0.30929,0.16629,0.30606,0.30089,0.30352,0.11899,1.76817,3.37968,2.79632,2.22822,0,0.000821455,0.000821455,0.000821455
9,188.81,1.08316,2.73327,2.01384,1.38744,0,0.22927,0.26607,0.30954,0.14834,0.19477,0.23941,0.28703,0.17147,1.6955,3.59971,2.77153,2.1263,0,0.000819805,0.000819805,0.000819805
10,209.34,1.04523,2.5732,1.95628,1.37251,0,0.50849,0.30081,0.32558,0.18818,0.48321,0.29188,0.30243,0.1796,1.72477,3.27135,2.57623,2.12328,0,0.000818156,0.000818156,0.000818156
11,229.94,1.00791,2.54509,1.94183,1.32792,0,0.31323,0.47634,0.36199,0.20096,0.29814,0.44988,0.33816,0.1949,1.79237,3.57333,2.63941,2.27006,0,0.000816507,0.000816507,0.000816507
12,250.799,1.01511,2.54126,1.85597,1.32179,0,0.25357,0.43304,0.29333,0.20285,0.24816,0.41071,0.2639,0.18821,1.616,3.18887,2.52847,2.10583,0,0.000814857,0.000814857,0.000814857
13,271.65,0.9853,2.56746,1.90612,1.32375,0,0.37493,0.37054,0.2589,0.15527,0.33706,0.32743,0.20966,0.14656,1.75531,3.36689,2.46287,2.22775,0,0.000813208,0.000813208,0.000813208
14,293.222,0.94832,2.37124,1.75656,1.29429,0,0.3463,0.37857,0.27729,0.14445,0.32225,0.33393,0.24064,0.14454,1.70916,3.52847,3.22446,2.19905,0,0.000811559,0.000811559,0.000811559
