epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,14.098,1.46472,4.01114,3.88742,1.64124,0,0.35644,0.06429,0.03286,0.01719,0.00088,0.04464,0.00043,9e-05,2.12179,51.9213,7.16616,2.78415,0,0.000324324,0.000324324,0.0678919
2,25.1815,1.40147,3.47889,2.74644,1.59438,0,0.64528,0.17143,0.12757,0.04691,0.00995,0.06607,0.00586,0.00236,1.99584,14.6658,4.61968,2.58017,0,0.000656355,0.000656355,0.0348906
3,36.238,1.44136,3.42175,2.6483,1.6166,0,0.09067,0.31875,0.09883,0.04722,0.15149,0.06071,0.01396,0.00248,2.34074,10.9061,3.86299,3.01828,0,0.000987067,0.000987067,0.00188797
4,47.2841,1.447,3.37199,2.56604,1.64266,0,0.67485,0.14286,0.20389,0.10528,0.15973,0.02679,0.00639,0.00167,2.16998,8.44027,3.6467,2.5332,0,0.00099406,0.00099406,0.00099406
5,58.5525,1.44014,3.38563,2.51514,1.61609,0,0.02641,0.16964,0.01937,0.00752,0.01907,0.12946,0.01568,0.00472,2.06542,4.97329,7.07982,2.40742,0,0.00099208,0.00099208,0.00099208
6,69.5314,1.37909,3.24329,2.44056,1.57042,0,0.20088,0.1366,0.19205,0.08319,0.20387,0.13571,0.18646,0.06508,1.70623,4.42672,4.05157,2.10512,0,0.0009901,0.0009901,0.0009901
7,80.6144,1.35989,3.20484,2.34942,1.56782,0,0.25967,0.39816,0.19107,0.10613,0.27403,0.35357,0.20411,0.10961,1.88255,3.84141,3.27614,2.3436,0,0.00098812,0.00098812,0.00098812
8,91.6312,1.34336,3.12312,2.3044,1.53371,0,0.31647,0.25529,0.15663,0.09021,0.28545,0.2456,0.13424,0.07726,1.75954,3.61191,3.15109,2.15469,0,0.00098614,0.00098614,0.00098614
9,102.538,1.3032,3.08384,2.1938,1.51053,0,0.21559,0.34402,0.2681,0.16911,0.18983,0.31723,0.24582,0.13681,1.6956,3.77557,2.90945,2.11254,0,0.00098416,0.00098416,0.00098416
10,113.645,1.30082,3.08569,2.21044,1.52639,0,0.1548,0.46351,0.26471,0.07738,0.14331,0.4278,0.24487,0.06233,1.76572,3.37487,3.00961,2.20672,0,0.00098218,0.00098218,0.00098218
11,124.69,1.255,3.06753,2.17425,1.49514,0,0.28006,0.22679,0.16307,0.07557,0.27092,0.22232,0.16015,0.06654,1.88088,3.60912,2.43599,2.36253,0,0.0009802,0.0009802,0.0009802
12,135.737,1.26841,2.99894,2.1677,1.48864,0,0.46389,0.28392,0.32335,0.14839,0.29898,0.30714,0.26713,0.11414,1.81063,3.51103,2.969,2.31147,0,0.00097822,0.00097822,0.00097822
13,146.623,1.2244,2.96897,2.08468,1.45176,0,0.36775,0.35893,0.41288,0.20505,0.35023,0.34107,0.39966,0.13792,1.80685,3.42422,2.66579,2.18714,0,0.00097624,0.00097624,0.00097624
14,157.621,1.25241,3.00255,2.07647,1.46423,0,0.58207,0.34464,0.42619,0.27062,0.58207,0.34464,0.40777,0.28415,1.86254,3.40523,2.84701,2.25952,0,0.00097426,0.00097426,0.00097426
15,168.555,1.25644,2.9878,2.0482,1.47098,0,0.52289,0.22768,0.29831,0.19005,0.49012,0.21429,0.27754,0.19334,1.61999,3.21492,2.85298,2.06106,0,0.00097228,0.00097228,0.00097228
16,179.481,1.22793,2.93225,2.01462,1.45289,0,0.71329,0.20714,0.31233,0.16608,0.7028,0.22395,0.24957,0.12138,1.56953,3.66502,2.46836,2.0338,0,0.0009703,0.0009703,0.0009703
